user_id,activity_minute,activity_date,calories,steps,intensity,mets,avg_hr,min_hr,max_hr,sleep_stage,hour_of_day,minute_of_day
1503960366,4/12/2016 0:00:00,4/12/2016,0.7864999771,0,0,10,,,,,0,0
1503960366,4/12/2016 0:01:00,4/12/2016,0.7864999771,0,0,10,,,,,0,1
1503960366,4/12/2016 0:02:00,4/12/2016,0.7864999771,0,0,10,,,,,0,2
1503960366,4/12/2016 0:03:00,4/12/2016,0.7864999771,0,0,10,,,,,0,3
1503960366,4/12/2016 0:04:00,4/12/2016,0.7864999771,0,0,10,,,,,0,4
1503960366,4/12/2016 0:05:00,4/12/2016,0.9437999725,0,0,12,,,,,0,5
1503960366,4/12/2016 0:06:00,4/12/2016,0.9437999725,0,0,12,,,,,0,6
1503960366,4/12/2016 0:07:00,4/12/2016,0.9437999725,0,0,12,,,,,0,7
1503960366,4/12/2016 0:08:00,4/12/2016,0.9437999725,0,0,12,,,,,0,8
1503960366,4/12/2016 0:09:00,4/12/2016,0.9437999725,0,0,12,,,,,0,9
1503960366,4/12/2016 0:10:00,4/12/2016,0.9437999725,0,0,12,,,,,0,10
1503960366,4/12/2016 0:11:00,4/12/2016,0.9437999725,0,0,12,,,,,0,11
1503960366,4/12/2016 0:12:00,4/12/2016,0.7864999771,0,0,10,,,,,0,12
1503960366,4/12/2016 0:13:00,4/12/2016,0.7864999771,0,0,10,,,,,0,13
1503960366,4/12/2016 0:14:00,4/12/2016,0.9437999725,0,0,12,,,,,0,14
1503960366,4/12/2016 0:15:00,4/12/2016,0.7864999771,0,0,10,,,,,0,15
1503960366,4/12/2016 0:16:00,4/12/2016,0.9437999725,0,0,12,,,,,0,16
1503960366,4/12/2016 0:17:00,4/12/2016,0.7864999771,0,0,10,,,,,0,17
1503960366,4/12/2016 0:18:00,4/12/2016,0.7864999771,0,0,10,,,,,0,18
1503960366,4/12/2016 0:19:00,4/12/2016,0.7864999771,0,0,10,,,,,0,19
1503960366,4/12/2016 0:20:00,4/12/2016,0.9437999725,0,0,12,,,,,0,20
1503960366,4/12/2016 0:21:00,4/12/2016,0.9437999725,0,0,12,,,,,0,21
1503960366,4/12/2016 0:22:00,4/12/2016,0.9437999725,0,0,12,,,,,0,22
1503960366,4/12/2016 0:23:00,4/12/2016,0.9437999725,0,0,12,,,,,0,23
1503960366,4/12/2016 0:24:00,4/12/2016,0.9437999725,0,0,12,,,,,0,24
1503960366,4/12/2016 0:25:00,4/12/2016,2.04489994,7,1,26,,,,,0,25
1503960366,4/12/2016 0:26:00,4/12/2016,0.9437999725,0,0,12,,,,,0,26
1503960366,4/12/2016 0:27:00,4/12/2016,0.9437999725,0,0,12,,,,,0,27
1503960366,4/12/2016 0:28:00,4/12/2016,0.9437999725,0,0,12,,,,,0,28
1503960366,4/12/2016 0:29:00,4/12/2016,2.516799927,32,1,32,,,,,0,29
1503960366,4/12/2016 0:30:00,4/12/2016,0.9437999725,0,0,12,,,,,0,30
1503960366,4/12/2016 0:31:00,4/12/2016,0.9437999725,0,0,12,,,,,0,31
1503960366,4/12/2016 0:32:00,4/12/2016,0.9437999725,0,0,12,,,,,0,32
1503960366,4/12/2016 0:33:00,4/12/2016,0.9437999725,0,0,12,,,,,0,33
1503960366,4/12/2016 0:34:00,4/12/2016,2.831399918,41,1,36,,,,,0,34
1503960366,4/12/2016 0:35:00,4/12/2016,2.516799927,29,1,32,,,,,0,35
1503960366,4/12/2016 0:36:00,4/12/2016,2.04489994,8,1,26,,,,,0,36
1503960366,4/12/2016 0:37:00,4/12/2016,2.516799927,26,1,32,,,,,0,37
1503960366,4/12/2016 0:38:00,4/12/2016,2.359499931,22,1,30,,,,,0,38
1503960366,4/12/2016 0:39:00,4/12/2016,2.202199936,17,1,28,,,,,0,39
1503960366,4/12/2016 0:40:00,4/12/2016,2.516799927,26,1,32,,,,,0,40
1503960366,4/12/2016 0:41:00,4/12/2016,2.202199936,16,1,28,,,,,0,41
1503960366,4/12/2016 0:42:00,4/12/2016,0.7864999771,0,0,10,,,,,0,42
1503960366,4/12/2016 0:43:00,4/12/2016,0.9437999725,0,0,12,,,,,0,43
1503960366,4/12/2016 0:44:00,4/12/2016,0.9437999725,0,0,12,,,,,0,44
1503960366,4/12/2016 0:45:00,4/12/2016,2.04489994,8,1,26,,,,,0,45
1503960366,4/12/2016 0:46:00,4/12/2016,0.9437999725,0,0,12,,,,,0,46
1503960366,4/12/2016 0:47:00,4/12/2016,2.04489994,10,1,26,,,,,0,47
1503960366,4/12/2016 0:48:00,4/12/2016,2.674099922,35,1,34,,,,,0,48
1503960366,4/12/2016 0:49:00,4/12/2016,2.202199936,14,1,28,,,,,0,49
1503960366,4/12/2016 0:50:00,4/12/2016,2.202199936,17,1,28,,,,,0,50
1503960366,4/12/2016 0:51:00,4/12/2016,2.04489994,10,1,26,,,,,0,51
1503960366,4/12/2016 0:52:00,4/12/2016,1.887599945,5,1,24,,,,,0,52
1503960366,4/12/2016 0:53:00,4/12/2016,2.359499931,21,1,30,,,,,0,53
1503960366,4/12/2016 0:54:00,4/12/2016,0.9437999725,0,0,12,,,,,0,54
1503960366,4/12/2016 0:55:00,4/12/2016,2.202199936,18,1,28,,,,,0,55
1503960366,4/12/2016 0:56:00,4/12/2016,0.9437999725,0,0,12,,,,,0,56
1503960366,4/12/2016 0:57:00,4/12/2016,0.9437999725,0,0,12,,,,,0,57
1503960366,4/12/2016 0:58:00,4/12/2016,2.04489994,11,1,26,,,,,0,58
1503960366,4/12/2016 0:59:00,4/12/2016,0.9437999725,0,0,12,,,,,0,59
1503960366,4/12/2016 1:00:00,4/12/2016,0.9437999725,0,0,12,,,,,1,60
1503960366,4/12/2016 1:01:00,4/12/2016,2.674099922,36,1,34,,,,,1,61
1503960366,4/12/2016 1:02:00,4/12/2016,2.04489994,9,1,26,,,,,1,62
