user_id,days_tracked,avg_daily_steps,avg_daily_distance,avg_daily_calories,avg_very_active_minutes,avg_fairly_active_minutes,avg_lightly_active_minutes,avg_sedentary_minutes,sleep_sessions,avg_minutes_asleep,avg_time_in_bed,avg_sleep_efficiency,avg_stage1_pct,avg_stage2_pct,avg_stage3_pct,avg_hourly_steps,avg_hourly_calories,avg_hourly_intensity,avg_minute_steps,avg_minute_calories,avg_minute_intensity,total_minuteWide_records,avg_minuteWide_steps,avg_minuteWide_calories,avg_minuteWide_intensity,avg_sleep_duration_hours,avg_sleep_quality_score,sleep_to_activity_ratio,activity_balance_score,per_user_sleep_efficiency_consistency
4057192912,4,3838,2.862500012,1973.75,0.75,1.5,103,1217.25,,,,,,,,173.9204545,89.19318182,0.01136363636,2.898674242,1.486861837,0.08162878788,512,2.421875,1.446106892,0.076171875,,,,0.0864653933,
8583815059,31,7198.516129,5.615483822,2732.032258,9.677419355,22.19354839,138.2903226,1267.225806,,,,,,,,245.4038997,110.5877437,0.09749303621,4.090064995,1.844362403,0.152181987,3456,4.625,1.888911048,0.1721643519,,,,0.1342785867,
1624580081,31,5743.903226,3.91483873,1483.354839,8.677419355,5.806451613,153.483871,1257.741935,,,,,,,,241.5081522,62.47282609,0.06385869565,4.02513587,1.040579079,0.1339900362,3528,3.509353741,1.02471154,0.1232993197,,,,0.1335470633,
2873212765,31,7555.774194,5.10161286,1916.967742,14.09677419,6.129032258,308,1097.193548,,,,,,,,318.111413,80.24320652,0.1888586957,5.301856884,1.338596958,0.2516983696,3496,5.220823799,1.334551556,0.2457093822,,,,0.2991503249,
3372868164,20,6861.65,4.707000041,1933.1,9.15,4.1,327.9,1077.55,,,,,,,,290.375,81.75635593,0.1758474576,4.839583333,1.363014805,0.2563206215,3456,4.737847222,1.355102478,0.2531828704,,,,0.3165978377,
8253242879,19,6482.157895,4.667368468,1788,20.52631579,14.31578947,116.8947368,1287.368421,,,,,,,,285.0069606,78.45011601,0.0788863109,4.750116009,1.311297103,0.151778809,3256,4.838144963,1.322221901,0.1624692875,,,,0.1178659035,
8877689391,31,16040.03226,13.21290314,3420.258065,66.06451613,9.935483871,234.7096774,1112.870968,,,,,,,,674.3170068,143.8721088,0.2217687075,11.24355132,2.39980329,0.3182561308,3520,12.06789773,2.498960326,0.3480113636,,,,0.2791964984,
6290855005,29,5649.551724,4.272413805,2599.62069,2.75862069,3.793103448,227.4482759,1193.034483,,,,,,,,246.1323308,113.3488722,0.1112781955,4.102205514,1.88775225,0.1766666667,3456,3.249421296,1.834166692,0.1513310185,,,,0.1961385051,
2022484408,31,11370.64516,8.084193491,2509.967742,36.29032258,19.35483871,257.4516129,1112.580645,,,,,,,,477.8695652,105.4796196,0.2296195652,7.960249433,1.7594592,0.2836281179,3528,8.102891156,1.762266401,0.2808956916,,,,0.2814149029,
4020332650,31,2267.225806,1.626129039,2385.806452,5.193548387,5.35483871,76.93548387,1237.258065,1,77,77,1,1,0,0,93.44125683,101.0013661,0.04371584699,1.557354281,1.677743696,0.07263205829,3504,0.2691210046,1.488878299,0.02682648402,1.283333333,0.4,33.96221046,0.07070786077,
2320127002,31,4716.870968,3.187741904,1724.16129,1.35483871,2.580645161,198.1935484,1220.096774,1,61,69,0.884057971,1,0.06557377049,0.06557377049,198.6870748,72.55510204,0.04489795918,3.311451247,1.210995381,0.1457142857,3528,2.864795918,1.19057597,0.1369047619,1.016666667,0.3566642908,12.93230203,0.1656663935,
