user_id,activity_date,total_steps,total_distance,tracker_distance,logged_activities_distance,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories_activity,calories_calories,total_sleep_records,total_minutes_asleep,total_time_in_bed,weight_kg,bmi,fat_percent,is_manual_report,avg_hr,min_hr,max_hr,total_calories_minute,total_steps_minute,total_intensity_minute,total_mets_minute,minutes_stage1,minutes_stage2,minutes_stage3
1503960366,4/12/2016,13162,8.5,8.5,0,1.879999995,0.5500000119,6.059999943,0,25,13,328,728,1985,1985,,,,,,,,,,,1985.204592,13158,429,25241,327,13,6
1503960366,4/13/2016,10735,6.96999979,6.96999979,0,1.570000052,0.6899999976,4.710000038,0,21,19,217,776,1797,1797,2,384,407,,,,,,,,1797.860299,10735,318,22859,384,11,12
1503960366,4/14/2016,10460,6.739999771,6.739999771,0,2.440000057,0.400000006,3.910000086,0,30,11,181,1218,1776,1776,,,,,,,,,,,1776.624798,10460,293,22589,,,
1503960366,4/15/2016,9762,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29,34,209,726,1745,1745,1,412,442,,,,,,,,1745.243449,9685,364,22190,412,22,8
1503960366,4/16/2016,12669,8.159999847,8.159999847,0,2.710000038,0.4099999964,5.039999962,0,36,10,221,773,1863,1863,2,340,367,,,,,,,,1863.533046,12669,349,23694,372,20,8
1503960366,4/17/2016,9705,6.480000019,6.480000019,0,3.190000057,0.7799999714,2.50999999,0,38,20,164,539,1728,1728,1,700,712,,,,,,,,1728.09775,9705,318,21972,668,11,0
1503960366,4/18/2016,13019,8.590000153,8.590000153,0,3.25,0.6399999857,4.710000038,0,42,16,233,1149,1921,1921,,,,,,,,,,,1921.655394,13019,391,24433,,,
1503960366,4/19/2016,15506,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,0,50,31,264,775,2035,2035,1,304,320,,,,,,,,2035.697892,15506,476,25883,304,16,0
1503960366,4/20/2016,10544,6.679999828,6.679999828,0,1.960000038,0.4799999893,4.239999771,0,28,12,205,818,1786,1786,1,360,377,,,,,,,,1786.613348,10544,313,22716,360,14,3
1503960366,4/21/2016,9819,6.340000153,6.340000153,0,1.340000033,0.349999994,4.650000095,0,19,8,211,838,1775,1775,1,325,364,,,,,,,,1775.680999,9819,284,22577,325,36,3
1503960366,4/22/2016,12764,8.130000114,8.130000114,0,4.760000229,1.120000005,2.24000001,0,66,27,130,1217,1827,1827,,,,,,,,,,,1827.983247,12764,382,23242,,,
1503960366,4/23/2016,14371,9.039999962,9.039999962,0,2.809999943,0.8700000048,5.360000134,0,41,21,262,732,1949,1949,1,361,384,,,,,,,,1949.418843,14371,427,24786,361,22,1
1503960366,4/24/2016,10039,6.409999847,6.409999847,0,2.920000076,0.2099999934,3.279999971,0,39,5,238,709,1788,1788,1,430,449,,,,,,,,1788.972848,10039,365,22746,430,19,0
1503960366,4/25/2016,15355,9.800000191,9.800000191,0,5.289999962,0.5699999928,3.940000057,0,73,14,216,814,2013,2013,1,277,323,,,,,,,,2013.125341,15355,463,25596,277,40,6
1503960366,4/26/2016,13755,8.789999962,8.789999962,0,2.329999924,0.9200000167,5.539999962,0,31,23,279,833,1970,1970,1,245,274,,,,,,,,1970.654343,13755,418,25056,245,26,3
1503960366,4/27/2016,18134,12.21000004,12.21000004,0,6.400000095,0.4099999964,5.409999847,0,78,11,243,1108,2159,2159,,,,,,,,,,,2159.021087,18125,499,27451,,,
1503960366,4/28/2016,13154,8.529999733,8.529999733,0,3.539999962,1.159999967,3.789999962,0,48,28,189,782,1898,1898,1,366,393,,,,,,,,1898.689595,13091,389,24141,366,26,1
1503960366,4/29/2016,11181,7.150000095,7.150000095,0,1.059999943,0.5,5.579999924,0,16,12,243,815,1837,1837,1,341,354,,,,,,,,1837.657196,11181,315,23365,341,13,0
1503960366,4/30/2016,14673,9.25,9.25,0,3.559999943,1.419999957,4.269999981,0,52,34,217,712,1947,1947,1,404,425,,,,,,,,1947.609893,14673,441,24763,404,20,1
1503960366,5/1/2016,10602,6.809999943,6.809999943,0,2.289999962,1.600000024,2.920000076,0,33,35,246,730,1820,1820,,,,,,,,,,,1831.129247,10602,415,23282,369,22,5
1503960366,5/2/2016,14727,9.710000038,9.710000038,0,3.210000038,0.5699999928,5.920000076,0,41,15,277,798,2004,2004,,,,52.59999847,22.64999962,22,TRUE,,,,2017.765692,14710,430,25655,277,26,6
1503960366,5/3/2016,15103,9.659999847,9.659999847,0,3.730000019,1.049999952,4.880000114,0,50,24,254,816,1990,1990,,,,52.59999847,22.64999962,,TRUE,,,,1990.772808,15103,452,25477,273,20,3
1503960366,5/4/2016,11100,7.150000095,7.150000095,0,2.460000038,0.8700000048,3.819999933,0,36,22,203,1179,1819,1819,,,,,,,,,,,1819.646206,11100,355,23287,,,
1503960366,5/5/2016,14070,8.899999619,8.899999619,0,2.920000076,1.080000043,4.880000114,0,45,24,250,857,1959,1959,,,,,,,,,,,1959.907502,14047,433,25082,247,16,1
1503960366,5/6/2016,12159,8.029999733,8.029999733,0,1.970000029,0.25,5.809999943,0,24,6,289,754,1896,1896,,,,,,,,,,,1896.614103,12159,373,24272,334,31,2
1503960366,5/7/2016,11992,7.710000038,7.710000038,0,2.460000038,2.119999886,3.130000114,0,37,46,175,833,1821,1821,,,,,,,,,,,1821.521563,11992,378,23311,331,16,2
1503960366,5/8/2016,10060,6.579999924,6.579999924,0,3.529999971,0.3199999928,2.730000019,0,44,8,203,574,1740,1740,,,,,,,,,,,1740.56853,10060,351,22275,594,16,1
1503960366,5/9/2016,12022,7.71999979,7.71999979,0,3.450000048,0.5299999714,3.74000001,0,46,11,206,835,1819,1819,,,,,,,,,,,1819.80249,12022,366,23289,338,4,0
1503960366,5/10/2016,12207,7.769999981,7.769999981,0,3.349999905,1.159999967,3.25999999,0,46,31,214,746,1859,1859,,,,,,,,,,,1859.575748,12207,414,23798,383,19,1
1503960366,5/11/2016,12770,8.130000114,8.130000114,0,2.559999943,1.00999999,4.550000191,0,36,23,251,669,1783,1783,,,,,,,,,,,1723.221444,11890,393,22053,285,21,0
1503960366,5/12/2016,0,0,0,0,0,0,0,0,0,0,0,1440,0,0,,,,,,,,,,,,,,,,,
1624580081,4/12/2016,8163,5.309999943,5.309999943,0,0,0,5.309999943,0,0,0,146,1294,1432,1432,,,,,,,,,,,1432.145366,8163,146,17234,,,
1624580081,4/13/2016,7007,4.550000191,4.550000191,0,0,0,4.550000191,0,0,0,148,1292,1411,1411,,,,,,,,,,,1411.868965,7007,148,16990,,,
1624580081,4/14/2016,9107,5.920000076,5.920000076,0,0,0,5.909999847,0.009999999776,0,0,236,1204,1572,1572,,,,,,,,,,,1572.085773,9107,236,18918,,,
1624580081,4/15/2016,1510,0.9800000191,0.9800000191,0,0,0,0.9700000286,0,0,0,96,1344,1344,1344,,,,,,,,,,,1344.059362,1490,96,16174,,,
1624580081,4/16/2016,5370,3.49000001,3.49000001,0,0,0,3.49000001,0,0,0,176,1264,1463,1463,,,,,,,,,,,1463.723366,5370,176,17614,,,
1624580081,4/17/2016,6175,4.059999943,4.059999943,0,1.029999971,1.519999981,1.49000001,0.009999999776,15,22,127,1276,1554,1554,,,,,,,,,,,1554.468567,6150,216,18706,,,
1624580081,4/18/2016,10536,7.409999847,7.409999847,0,2.150000095,0.6200000048,4.619999886,0.009999999776,17,7,202,1214,1604,1604,,,,,,,,,,,1604.49477,10536,267,19308,,,
1624580081,4/19/2016,2916,1.899999976,1.899999976,0,0,0,1.899999976,0,0,0,141,1299,1435,1435,,,,,,,,,,,1435.469364,2916,141,17274,,,
1624580081,4/20/2016,4974,3.230000019,3.230000019,0,0,0,3.230000019,0,0,0,151,1289,1446,1446,,,,,,,,,,,1446.106163,4974,151,17402,,,
