user_id,activity_hour,activity_date,calories,total_intensity,average_intensity,steps,avg_hr,min_hr,max_hr,total_calories_minute,total_steps_minute,total_intensity_minute,total_mets_minute,minutes_stage1,minutes_stage2,minutes_stage3
1503960366,4/12/2016 0:00:00,4/12/2016,81,20,0,373,,,,81.32409763,373,20,1034,,,
1503960366,4/12/2016 1:00:00,4/12/2016,61,8,0,160,,,,60.56049824,160,8,770,,,
1503960366,4/12/2016 2:00:00,4/12/2016,59,7,0,151,,,,58.83019829,151,7,748,5,4,4
1503960366,4/12/2016 3:00:00,4/12/2016,47,0,0,0,,,,47.18999863,0,0,600,57,1,2
1503960366,4/12/2016 4:00:00,4/12/2016,48,0,0,0,,,,47.50459862,0,0,604,59,1,0
1503960366,4/12/2016 5:00:00,4/12/2016,48,0,0,0,,,,47.50459862,0,0,604,54,6,0
1503960366,4/12/2016 6:00:00,4/12/2016,48,0,0,0,,,,47.50459862,0,0,604,60,0,0
1503960366,4/12/2016 7:00:00,4/12/2016,47,0,0,0,,,,47.34729862,0,0,602,59,1,0
1503960366,4/12/2016 8:00:00,4/12/2016,68,13,0,250,,,,68.11089802,250,13,866,33,0,0
1503960366,4/12/2016 9:00:00,4/12/2016,141,30,1,1864,,,,140.8621459,1864,30,1791,,,
1503960366,4/12/2016 10:00:00,4/12/2016,99,29,0,676,,,,98.94169712,676,29,1258,,,
1503960366,4/12/2016 11:00:00,4/12/2016,76,12,0,360,,,,75.97589778,360,12,966,,,
1503960366,4/12/2016 12:00:00,4/12/2016,73,11,0,253,,,,72.82989788,253,11,926,,,
1503960366,4/12/2016 13:00:00,4/12/2016,66,6,0,221,,,,66.22329807,221,6,842,,,
1503960366,4/12/2016 14:00:00,4/12/2016,110,36,1,1166,,,,110.0313468,1166,36,1399,,,
1503960366,4/12/2016 15:00:00,4/12/2016,151,58,1,2063,,,,150.6147456,2063,58,1915,,,
1503960366,4/12/2016 16:00:00,4/12/2016,76,13,0,344,,,,75.5039978,344,13,960,,,
1503960366,4/12/2016 17:00:00,4/12/2016,83,16,0,489,,,,82.58249759,489,16,1050,,,
1503960366,4/12/2016 18:00:00,4/12/2016,124,29,0,1386,,,,123.9523964,1386,29,1576,,,
1503960366,4/12/2016 19:00:00,4/12/2016,104,39,1,558,,,,103.975297,558,39,1322,,,
1503960366,4/12/2016 20:00:00,4/12/2016,132,41,1,1733,,,,131.5027962,1733,41,1672,,,
1503960366,4/12/2016 21:00:00,4/12/2016,100,31,1,684,,,,100.0427971,684,31,1272,,,
1503960366,4/12/2016 22:00:00,4/12/2016,65,9,0,89,,,,64.80759811,89,9,824,,,
